gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
814351767	f5de707d-eba1-4f1a-b1df-1a7fa27b1bc7		Plantae	Tracheophyta	Magnoliopsida	Apiales	Apiaceae	Azorella	Azorella madreporica		SPECIES	Azorella madreporica Clos	Azorella madreporica Clos		AR	Río de Las Taguas, Qda. de las Yaretas.	San Juan	PRESENT		b6f05cf0-43ce-11d9-8439-b8a03c50a862	-29.2	-69.87											6026493	6026493	PRESERVED_SPECIMEN	SI	HERB	431716		Martínez S., E.		CC_BY_4_0		Kiesling, R.			2025-01-10T23:36:11.678Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
814351766	f5de707d-eba1-4f1a-b1df-1a7fa27b1bc7		Plantae	Tracheophyta	Magnoliopsida	Apiales	Apiaceae	Azorella	Azorella madreporica		SPECIES	Azorella madreporica Clos	Azorella madreporica Clos		CL	Perez Caldera, above rio San Francisco, wet streamside talus with Berberis, Pernettya, Tropaeolum, Erigeron, Calceolaria & Mutisieae.	Región Metropolitana	PRESENT		b6f05cf0-43ce-11d9-8439-b8a03c50a862													6026493	6026493	PRESERVED_SPECIMEN	SI	HERB	431120		-		CC_BY_4_0		Constance, L.			2025-01-10T23:36:11.722Z		COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
814351765	f5de707d-eba1-4f1a-b1df-1a7fa27b1bc7		Plantae	Tracheophyta	Magnoliopsida	Apiales	Apiaceae	Azorella	Azorella madreporica		SPECIES	Azorella madreporica Clos	Azorella madreporica Clos		CL	Cerro Mapocho Tal Piedra numerada, bei Santiago	Región Metropolitana	PRESENT		b6f05cf0-43ce-11d9-8439-b8a03c50a862													6026493	6026493	PRESERVED_SPECIMEN	SI	HERB	431119		-		CC_BY_4_0		Grandjot, G. F.			2025-01-10T23:36:10.982Z		COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
575207279	bf2a4bf0-5f31-11de-b67e-b8a03c50a862	https://data.rbge.org.uk/herb/E00224554	Plantae	Tracheophyta	Magnoliopsida	Apiales	Apiaceae	Azorella	Azorella madreporica		SPECIES	Azorella madreporica Clos	Azorella madreporica Clos		CL	Chile:Santiago: Perez Caldera, above rio San Francisco.		PRESENT		98e934b0-5f31-11de-b67e-b8a03c50a862					2800.0	0.0			1954-02-11	11	2	1954	6026493	6026493	PRESERVED_SPECIMEN	RBGE	E	E00224554	3503			CC0	Royal Botanic Garden Edinburgh	Constance, Lincoln			2025-01-07T22:05:24.168Z	InteractiveResource;StillImage	
575077877	bf2a4bf0-5f31-11de-b67e-b8a03c50a862	https://data.rbge.org.uk/herb/E00224555	Plantae	Tracheophyta	Magnoliopsida	Apiales	Apiaceae	Azorella	Azorella madreporica		SPECIES	Azorella madreporica Clos	Azorella madreporica Clos					PRESENT		98e934b0-5f31-11de-b67e-b8a03c50a862													6026493	6026493	PRESERVED_SPECIMEN	RBGE	E	E00224555	930			CC0	Royal Botanic Garden Edinburgh	Comber, Harold Frederick			2025-01-07T22:04:38.354Z	InteractiveResource;StillImage	
574990707	bf2a4bf0-5f31-11de-b67e-b8a03c50a862	https://data.rbge.org.uk/herb/E00224556	Plantae	Tracheophyta	Magnoliopsida	Apiales	Apiaceae	Azorella	Azorella madreporica		SPECIES	Azorella madreporica Clos	Azorella madreporica Clos		AR	Argentina:Cerro Bayo		PRESENT		98e934b0-5f31-11de-b67e-b8a03c50a862					2591.0	0.0			1925-12-25	25	12	1925	6026493	6026493	PRESERVED_SPECIMEN	RBGE	E	E00224556	336			CC0	Royal Botanic Garden Edinburgh	Comber, Harold Frederick			2025-01-07T22:05:25.014Z	InteractiveResource;StillImage	CONTINENT_DERIVED_FROM_COUNTRY
574662179	bf2a4bf0-5f31-11de-b67e-b8a03c50a862	https://data.rbge.org.uk/herb/E00156986	Plantae	Tracheophyta	Magnoliopsida	Apiales	Apiaceae	Azorella	Azorella madreporica		SPECIES	Azorella madreporica Clos	Azorella madreporica Clos		AR	Argentina:Prov. de Neuquen:Cerro Atravesado (wets of Zapala to Lago Aluminé		PRESENT		98e934b0-5f31-11de-b67e-b8a03c50a862					2200.0	0.0			1994-02-23	23	2	1994	6026493	6026493	PRESERVED_SPECIMEN	RBGE	E	E00156986	14315			CC0	Royal Botanic Garden Edinburgh	Archibald, James C. & Archibald, Jennifer			2025-01-07T22:04:34.951Z	StillImage;InteractiveResource	CONTINENT_DERIVED_FROM_COUNTRY
4945820031	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/241209653	Plantae	Tracheophyta	Magnoliopsida	Apiales	Apiaceae	Azorella	Azorella madreporica		SPECIES	Azorella madreporica Clos	Azorella madreporica		CL		Coquimbo	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	-30.949581	-70.697418	1588.0						2023-10-07T16:08	7	10	2023	6026493	6026493	HUMAN_OBSERVATION	iNaturalist	Observations	241209653		Daniel Nuñez Michea	2024-09-12T01:01:51	CC_BY_4_0	Daniel Nuñez Michea	Daniel Nuñez Michea			2024-12-16T11:53:15.002Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4945724784	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/241209652	Plantae	Tracheophyta	Magnoliopsida	Apiales	Apiaceae	Azorella	Azorella madreporica		SPECIES	Azorella madreporica Clos	Azorella madreporica		CL		Coquimbo	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	-30.949508	-70.697504	1695.0						2023-10-07T16:10	7	10	2023	6026493	6026493	HUMAN_OBSERVATION	iNaturalist	Observations	241209652		Daniel Nuñez Michea	2024-09-12T01:01:51	CC_BY_4_0	Daniel Nuñez Michea	Daniel Nuñez Michea			2024-12-16T11:52:37.231Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4923927660	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/235206298	Plantae	Tracheophyta	Magnoliopsida	Apiales	Apiaceae	Azorella	Azorella madreporica		SPECIES	Azorella madreporica Clos	Azorella madreporica		CL		Región Metropolitana de Santiago	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	-33.317923	-70.261465							2023-12-24T06:49	24	12	2023	6026493	6026493	HUMAN_OBSERVATION	iNaturalist	Observations	235206298		Nolan Exe	2024-08-11T21:23:26	CC_BY_4_0	Nolan Exe	Nolan Exe			2024-12-16T11:54:34.450Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
