Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
2.99517E-3,17.100520497,0.254557222,0.006284916,0.041666667,0
3.00005E-3,17.400525371,0.25491403,0.006185156,0.041666667,0
3.05928E-3,17.706453855,0.259230496,0.006085395,0.041666667,0
3.06678E-3,18.013131849,0.25977487,0.005985634,0.041666667,0
3.07184E-3,18.320316067,0.260142318,0.005885874,0.041666667,0
3.0733E-3,18.627645687,0.260247825,0.005786113,0.041666667,0
3.08411E-3,18.936056269,0.26103173,0.005686353,0.041666667,0
3.27136E-3,19.263191815,0.27447984,0.005586592,0.041666667,0
3.2844E-3,19.591631431,0.275407244,0.005486832,0.041666667,0
3.39399E-3,19.931030602,0.283154561,0.005387071,0.041666667,0
3.44444E-3,20.275475062,0.286693181,0.00528731,0.041666667,0
3.69915E-3,20.645390504,0.304292868,0.00518755,0.041666667,0
3.8136E-3,21.026750475,0.312058658,0.005087789,0.083333333,0
4.06918E-3,21.433668563,0.329089835,0.004988029,0.083333333,0
4.43272E-3,21.87694051,0.352591118,0.004888268,0.083333333,0
4.50267E-3,22.327207617,0.357017856,0.004788508,0.125,0
4.84059E-3,22.811266859,0.377979903,0.004688747,0.125,0
5.18149E-3,23.329415446,0.398433952,0.004588986,0.125,0
5.51346E-3,23.88076095,0.417705931,0.004489226,0.125,0
5.6029E-3,24.441051298,0.422792301,0.004389465,0.125,0
5.90299E-3,25.031350436,0.43953407,0.004289705,0.125,0
6.1151E-3,25.642860794,0.451073956,0.004189944,0.125,0
6.32486E-3,26.275346835,0.462252022,0.004090184,0.125,0
6.72123E-3,26.947469979,0.482757147,0.003990423,0.125,0
6.7769E-3,27.625159744,0.485573568,0.003890662,0.125,0
6.84485E-3,28.309644869,0.488990889,0.003790902,0.125,0
7.63419E-3,29.073064036,0.527061175,0.003691141,0.125,0
7.74196E-3,29.84726038,0.532034114,0.003591381,0.125,0
7.81383E-3,30.628643616,0.535321283,0.00349162,0.125,0
7.85353E-3,31.413996446,0.537127003,0.00339186,0.125,0
8.25965E-3,32.239961813,0.555202793,0.003292099,0.166666667,0
8.70816E-3,33.110777941,0.574345831,0.003192338,0.166666667,0
9.02806E-3,34.013584182,0.58749425,0.003092578,0.166666667,0
9.05477E-3,34.919060998,0.588573353,0.002992817,0.208333333,0
9.20474E-3,35.839535072,0.594581084,0.002893057,0.208333333,0
9.62558E-3,36.802093006,0.610975037,0.002793296,0.208333333,0
9.73165E-3,37.77525829,0.615001499,0.002693536,0.25,0
1.32824E-2,39.10349415,0.728225323,0.002593775,0.291666667,0
1.33341E-2,40.436908806,0.729602316,0.002494014,0.333333333,0
1.33703E-2,41.773942766,0.730560511,0.002394254,0.333333333,0
1.36922E-2,43.143161347,0.738933285,0.002294493,0.375,0
1.41971E-2,44.562872141,0.751547571,0.002194733,0.375,0
1.54907E-2,46.11193933,0.781152761,0.002094972,0.375,0
1.57928E-2,47.69122402,0.787543869,0.001995211,0.375,0
1.61168E-2,49.302902268,0.794188079,0.001895451,0.416666667,0
1.69415E-2,50.997053451,0.810181131,0.00179569,0.458333333,0
1.89768E-2,52.894729968,0.84453117,0.00169593,0.5,0
1.91541E-2,54.810141829,0.847212236,0.001596169,0.541666667,0
1.9685E-2,56.778645636,0.854964972,0.001496409,0.583333333,0
1.98529E-2,58.763934844,0.857333241,0.001396648,0.583333333,0
2.03994E-2,60.803875171,0.864779369,0.001296887,0.625,0
2.20905E-2,63.012927563,0.885447126,0.001197127,0.666666667,0
2.24941E-2,65.262337984,0.889893082,0.001097366,0.666666667,0
2.81839E-2,68.080725755,0.936984657,0.000997606,0.666666667,0
2.84623E-2,70.926951554,0.938681984,0.000897845,0.708333333,0
3.18403E-2,74.110984024,0.955975749,0.000798085,0.75,0
3.3044E-2,77.41538356,0.960878184,0.000698324,0.791666667,0
3.38002E-2,80.79540707,0.963675025,0.000598563,0.833333333,0
3.45642E-2,84.251831549,0.966297613,0.000498803,0.833333333,0
3.51629E-2,87.768122534,0.96821961,0.000399042,0.833333333,0
3.57151E-2,91.339635273,0.969895161,0.000299282,0.875,0
4.28444E-2,95.624078701,0.985039437,0.000199521,0.916666667,0
4.37592E-2,100,0.986323312,0.000099761,0.958333333,0
4.37592E-2,100,0.986323312,0.000099761,1,0
