X,Y,Test or train,Raw prediction,Cumulative prediction,Cloglog prediction
-70.26,-36.85,train,0.03304399535303159,77.41537080313346,0.9608781843091314
-69.37,-36.14,train,0.015792846893885226,47.6914572849839,0.7875438691562057
-72.31,-50.39,train,0.013370339603996032,41.77411122368017,0.7305605113532503
-71.55,-41.43,train,0.009731652835000628,37.77525935049412,0.6150014989946051
-69.87,-29.2,train,0.03571512739136002,91.33965173418586,0.9698951607784502
-70.697418,-30.949581,train,0.016941511831859216,50.99706448280926,0.8101811309010174
-70.261465,-33.317923,train,0.016116782483913544,49.30281513745823,0.7941880793208482
-70.253356,-33.344176,train,0.04375921299116796,100.0,0.9863233115188007
-70.47,-36.72,train,0.02846225799292614,70.92652209416751,0.9386819844982582
-71.49,-43.02,train,0.003699154425834344,20.645405251366164,0.30429286821366863
-68.95,-41.09,train,0.0016360072652156312,12.588685483002473,0.14825281861823736
-70.75,-46.63,train,0.0044327194722089515,21.876939866453306,0.3525911176986186
-71.09,-39.11,train,0.019154118600840618,54.81021079834559,0.8472122363415094
-70.43,-38.58,train,0.009625579347895019,36.80209151448583,0.6109750371251916
-70.22,-38.02,train,0.009028062409364875,34.013665860174335,0.587494250471251
-70.075185,-29.269864,train,0.03516290984650264,87.76818621909528,0.968219610035389
-70.449399,-33.506839,train,0.007853528304734285,31.413962909936362,0.5371270026214008
-70.183,-32.583,train,0.020399403270208692,60.80387944281263,0.8647793685139734
-70.343508,-29.329898,train,0.019852892079703758,58.76384119254882,0.8573332411238778
-71.265447,-42.815717,train,0.013282358602878736,39.103478664499484,0.7282253231115388
-70.375535,-33.14269,train,0.03184032470440681,74.11105184258469,0.9559757488636622
-69.70258,-34.18053,train,0.028183877702792945,68.08071471029268,0.9369846567786738
-70.216667,-33.8,train,0.042844434281272055,95.62424268454673,0.985039436640968
-70.76639,-30.54583,train,0.018976765173691287,52.894697496586346,0.8445311700995664
